Time,Id,CimetrixGEM300Simulation/MaterialManager/SubstLocID,CimetrixGEM300Simulation/MaterialManager/SubstLocSubstID
2022-11-10T00:03:42.961-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:43.841-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:03:44.401-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:45.005-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.06,
2022-11-10T00:03:45.553-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:49.809-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:03:50.361-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:51.111-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:03:51.674-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:52.235-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.07,
2022-11-10T00:03:52.795-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:57.061-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:03:57.625-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:58.398-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:03:58.969-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:59.528-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.08,
2022-11-10T00:04:00.085-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:04.388-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:04:04.952-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:05.711-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:04:06.282-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:06.834-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.09,
2022-11-10T00:04:07.398-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:11.692-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:04:12.250-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:12.996-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:04:13.571-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:14.138-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.10,
2022-11-10T00:04:14.723-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:18.977-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:04:19.533-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:20.331-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
