Time,Id,CimetrixGEM300Simulation/ModuleID,CimetrixGEM300Simulation/ProcessJobID,CimetrixGEM300Simulation/ProcessJobIDList,CimetrixGEM300Simulation/RCID,CimetrixGEM300Simulation/RecID,CimetrixGEM300Simulation/RecipeParameters,CimetrixGEM300Simulation/SubstrateID,CimetrixGEM300Simulation/SubstrateIDList
2022-11-11T14:36:37.497-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.20","Arr[0]"
2022-11-11T14:36:52.025-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.22","Arr[0]"
2022-11-11T14:37:05.856-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.24","Arr[0]"
2022-11-11T14:37:37.466-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.01","Arr[0]"
2022-11-11T14:51:32.229-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.03","Arr[0]"
2022-11-11T14:51:46.533-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.05","Arr[0]"
2022-11-11T14:52:00.683-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.07","Arr[0]"
2022-11-11T14:52:15.522-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.09","Arr[0]"
2022-11-11T14:52:29.670-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.11","Arr[0]"
2022-11-11T14:52:43.989-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.13","Arr[0]"
2022-11-11T14:52:58.330-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.15","Arr[0]"
2022-11-11T14:53:12.666-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.17","Arr[0]"
2022-11-11T14:53:26.936-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.19","Arr[0]"
2022-11-11T14:53:41.121-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.21","Arr[0]"
2022-11-11T14:53:55.452-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.23","Arr[0]"
2022-11-11T14:54:09.757-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.25","Arr[0]"
2022-11-11T14:54:24.111-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0008","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.02","Arr[0]"
