Time,Id,CimetrixGEM300Simulation/MaterialManager/SubstLocID,CimetrixGEM300Simulation/MaterialManager/SubstLocSubstID
2022-11-10T00:13:07.488-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.03"
2022-11-10T00:13:08.048-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.03","CARRIER2.03"
2022-11-10T00:13:08.653-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.05"
2022-11-10T00:13:09.248-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER2.05"
2022-11-10T00:13:09.808-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.06"
2022-11-10T00:13:10.371-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.06"
2022-11-10T00:13:14.618-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.04"
2022-11-10T00:13:15.197-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.04","CARRIER2.04"
2022-11-10T00:13:15.943-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.06"
2022-11-10T00:13:16.487-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER2.06"
2022-11-10T00:13:17.044-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.07"
2022-11-10T00:13:17.609-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.07"
2022-11-10T00:13:21.868-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.05"
2022-11-10T00:13:22.418-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.05","CARRIER2.05"
2022-11-10T00:13:23.178-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.07"
2022-11-10T00:13:23.735-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER2.07"
2022-11-10T00:13:24.289-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.08"
2022-11-10T00:13:24.848-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.08"
2022-11-10T00:13:29.080-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.06"
2022-11-10T00:13:29.648-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.06","CARRIER2.06"
2022-11-10T00:13:30.418-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.08"
2022-11-10T00:13:30.985-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER2.08"
2022-11-10T00:13:31.535-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.09"
2022-11-10T00:13:32.106-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.09"
2022-11-10T00:13:36.150-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.07"
2022-11-10T00:13:36.698-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.07","CARRIER2.07"
2022-11-10T00:13:37.667-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.09"
2022-11-10T00:13:38.214-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER2.09"
2022-11-10T00:13:38.776-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.10"
2022-11-10T00:13:39.346-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.10"
2022-11-10T00:13:43.310-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.08"
2022-11-10T00:13:43.877-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.08","CARRIER2.08"
2022-11-10T00:13:44.931-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.10"
2022-11-10T00:13:45.489-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER2.10"
2022-11-10T00:13:46.055-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.11"
2022-11-10T00:13:46.613-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.11"
2022-11-10T00:13:50.593-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.09"
2022-11-10T00:13:51.172-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.09","CARRIER2.09"
2022-11-10T00:13:52.188-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.11"
2022-11-10T00:13:52.735-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER2.11"
2022-11-10T00:13:53.283-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.12"
2022-11-10T00:13:53.838-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.12"
